error,scene,os_version,device_brand,device_model,device_type,failure_layer
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',10,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',10,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',9,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'JNI FatalError called: java.lang.Error thrown during binder transaction: java.lang.OutOfMemoryError: OutOfMemoryError thrown while trying to throw an exception; no stack trace available',7,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',5,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',6,virtualized,virtualized,virtualized,native
"signal 6, code -6",Abort Message: Pending java.lang.OutOfMemoryError,7,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',8,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',12,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',10,virtualized,virtualized,virtualized,native
"signal 6, code -1",Abort Message: 'terminating with uncaught exception of type CustomException',9,virtualized,virtualized,virtualized,native
"signal 11, code 2",#00 /apex/com.android.runtime/lib/bionic/libc.so,10,virtualized,virtualized,virtualized,native
"signal 11, code 2",#00 /apex/com.android.runtime/lib/bionic/libc.so,7,virtualized,virtualized,virtualized,native
"signal 11, code 2",#00 /apex/com.android.runtime/lib/bionic/libc.so,9,virtualized,virtualized,virtualized,native
"signal 11, code 1",#00 /system/lib/libandroidfw.so (_ZN7android12CursorWindow8allocRowEv+23),10,virtualized,virtualized,virtualized,native
"signal 11, code 1",#00 /system/lib/libandroidfw.so (_ZN7android12CursorWindow8allocRowEv+23),11,virtualized,virtualized,virtualized,native
"signal 11, code 1",#00 /system/lib/libandroidfw.so (_ZN7android12CursorWindow8allocRowEv+23),11,virtualized,virtualized,virtualized,native
